9,8,2,18
3,62,53,107
12,1128,331,27
3,119,152,143
4,58,69,429
4,16,1,1
2,16,4,1
16,126,15,1
4,15,2,1
6,10,2,6
3,5,2,1
2,23,2,1
1,9,1,0
1,21,3,1
1,338,80,9
3,37,2,2
5,49,7,6
6,19,2,7
5,48,8,33
4,1015,290,23
6,511,163,10
4,51,17,1
1,14,1,0
4,26,19,1
2,27,2,1
8,21,9,1
3,430,105,13
1,13,21,253
5,31,18,38
4,70,240,1302
6,57,23,129
7,35,2,136
7,94,146,448
6,21,5,1
4,16,36,112
3,36,40,185
9,56,6,1
2,51,2,3
3,5,2,84
6,79,264,1173
9,26,3,1
3,21,14,1
1,393,206,506
9,49,22,828
15,79,10,99
3,13,1,63
3,27,37,173
3,9,2,1
1,17,1,89
2,26,5,20
10,823,434,404
5,42,58,463
4,13,1,22
11,38,11,1
1,9,1,20
6,19,34,288
5,21,1,33
11,389,120,14
6,9,1,0
13,222,6667,75959
1,42,231,1395
6,49,14,29
3,45,2,209
1,2,2,62
1,343,913,8448
4,36,56,575
3,17,8,41
5,599,116,3
22,60,17,68
9,24,2,444
1,2,18,286
2,57,12,1
5,27,6,1
10,259,1656,11403
9,91,9,125
2,355,102,61
2,41,14,6
3,23,8,43
1,13,2,14
1,8,5,78
1,22,57,367
8,21,6,1
6,39,11,1
6,33,237,3419
20,83,94,1236
1,14,18,217
1,322,1985,13029
1,34,1354,43470
9,20,2,4
1,16,162,1033
2,23,17,13
13,58,14,1
10,35,8,1138
8,692,185,8
1,18,19,101
1,29,185,3057
15,58,350,8695
3,36,30,226
12,895,239,12
3,14,11,2
7,66,30,541
7,44,3,1
13,43,11,9
11,63,4,3
12,58,6,21
2,41,161,1474
5,15,4,571
8,15,1,385
2,27,20,123
8,46,22,142
4,37,33,339
4,10,1,2
7,55,15,3
3,14,100,441
8,24,5,259
13,50,37,2
13,46,82,370
6,27,186,1081
4,167,269,611
1,12,242,3526
5,75,14,206
6,61,1,1
2,30,37,104
5,21,61,352
249,2743,544,68
5,22,1,5
4,9,5,2
6,73,7,3
29,100,82,698
1,19,64,220
4,7,3,1
5,4,1,0
10,12,3,133
3,15,5,1
11,50,63,725
7,19,2,37
6,3,3,8
3,11,19,127
5,40,7,3
4,556,148,9
8,113,10,1
1,3,5,17
13,93,57,528
2,10,24,922
4,155,106,218
2,195,71,96
1,19,1,0
1,95,606,4675
1,27,6,25
1,107,750,6822
1,11,1,1
2,23,43,170
13,1711,467,32
11,16,50,223
3,45,38,86
3,48,168,7701
5,40,84,644
6,45,16,3065
1,102,1505,15119
5,13,3,24
10,60,230,3123
6,77,85,2309
1,46,5,1
3,48,4,1
11,20,6,1
1,11,138,8261
2,26,92,346
1,15,4,31
1,267,1777,10015
1,24,77,946
7,88,296,2438
1,53,9,922
9,48,278,4721
12,41,122,4429
2,1249,349,118
4,72,181,1090
9,37,2,4
13,3641,35165,67334
