1,0.281194,9,8,2,18,3,1
2,0.176169,3,62,53,107,1,1
4,0.216838,12,1128,331,27,5,1
5,0.185463,3,119,152,143,7,1
6,0.072224,4,58,69,429,12,1
7,0.266765,4,16,1,1,0,0
8,0,2,16,4,1,0,0
9,0.170331,16,126,15,1,0,0
10,0,4,15,2,1,0,0
11,0.235193,6,10,2,6,1,1
12,0.439497,3,5,2,1,0,0
13,0.222285,2,23,2,1,0,0
14,0,1,9,1,0,0,0
15,0,1,21,3,1,0,0
17,0.133533,1,338,80,9,1,1
18,0.151097,3,37,2,2,1,1
20,0.315997,5,49,7,6,2,1
23,0.179256,6,19,2,7,2,1
24,0.078232,5,48,8,33,9,1
25,0.068926,4,1015,290,23,1,1
26,0.090971,6,511,163,10,1,1
27,0,4,51,17,1,0,0
29,0,1,14,1,0,0,0
30,0.141441,4,26,19,1,0,0
32,0,2,27,2,1,0,0
34,0.172037,8,21,9,1,0,0
35,0.160253,3,430,105,13,3,1
37,0.27317,1,13,21,253,34,19
38,0.143726,5,31,18,38,5,1
39,0.264005,4,70,240,1302,107,17
42,0.145137,6,57,23,129,26,1
43,0.151618,7,35,2,136,25,24
44,0.089703,7,94,146,448,6,3
45,0,6,21,5,1,0,0
46,0.125083,4,16,36,112,6,1
47,0.257318,3,36,40,185,12,1
48,0.249882,9,56,6,1,0,0
50,0.093625,2,51,2,3,101,8
52,0.160329,3,5,2,84,27,7
53,0.04982,6,79,264,1173,82,8
55,0.172037,9,26,3,1,0,0
56,0.15935,3,21,14,1,1,3
57,0.05956,1,393,206,506,49,2
58,0.055733,9,49,22,828,220,125
59,0.038271,15,79,10,99,32,10
61,0.087281,3,13,1,63,2,9
62,0.180342,3,27,37,173,15,2
63,0,3,9,2,1,0,0
65,0.099477,1,17,1,89,26,21
66,0.122292,2,26,5,20,4,3
67,0.111534,10,823,434,404,9,2
69,0.198608,5,42,58,463,43,5
70,0.146094,4,13,1,22,5,3
72,0.120681,11,38,11,1,0,0
73,0.183122,1,9,1,20,3,2
74,0.070502,6,19,34,288,5,2
76,0.110581,5,21,1,33,4,4
78,0.049461,11,389,120,14,3,5
82,0.33729,6,9,1,0,0,0
83,0.008447,13,222,6667,75959,76990,75484
84,0.147277,1,42,231,1395,86,3
86,0.075268,6,49,14,29,6,5
87,0.12892700000000001,3,45,2,209,60,18
88,0.091402,1,2,2,62,14,5
89,0.276631,1,343,913,8448,1036,114
91,0.139233,4,36,56,575,41,2
92,0.152407,3,17,8,41,16,6
95,0.038537,5,599,116,3,5,1
96,0.14431,22,60,17,68,17,11
98,0.205593,9,24,2,444,128,75
100,0.131744,1,2,18,286,18,3
102,0.105591,2,57,12,1,0,0
103,0.391244,5,27,6,1,0,0
104,0.104549,10,259,1656,11403,934,97
106,0.106792,9,91,9,125,33,17
107,0.120505,2,355,102,61,17,13
108,0.11191,2,41,14,6,2,2
111,0.088072,3,23,8,43,8,5
112,0,1,13,2,14,5,3
113,0.189991,1,8,5,78,9,2
116,0.083118,1,22,57,367,34,2
117,0.183122,8,21,6,1,0,0
118,0.117595,6,39,11,1,2,4
119,0.110991,6,33,237,3419,409,25
120,0.218993,20,83,94,1236,207,16
122,0.171546,1,14,18,217,23,1
124,0.133841,1,322,1985,13029,2113,397
126,0.17535,1,34,1354,43470,14900,3230
127,0.27139,9,20,2,4,2,6
131,0.190975,1,16,162,1033,77,7
133,0.175565,2,23,17,13,25,34
135,0.15935,13,58,14,1,0,0
136,0.229269,10,35,8,1138,304,172
138,0.183439,8,692,185,8,3,2
141,0.102713,1,18,19,101,9,1
142,0.116372,1,29,185,3057,309,57
143,0.287024,15,58,350,8695,1771,278
144,0.198235,3,36,30,226,28,2
145,0.067266,12,895,239,12,8,83
146,0,3,14,11,2,9,2
148,0.178007,7,66,30,541,25,3
149,0.131107,7,44,3,1,0,0
150,0.143726,13,43,11,9,1,21
151,0.13304,11,63,4,3,26,1
152,0.140327,12,58,6,21,1,3
153,0.19616,2,41,161,1474,127,7
154,0.069189,5,15,4,571,158,92
157,0.414842,8,15,1,385,97,56
159,0.18472,2,27,20,123,5,1
161,0.22078,8,46,22,142,4,4
163,0.117035,4,37,33,339,85,9
164,0.309543,4,10,1,2,30,7
167,0.216397,7,55,15,3,2,5
168,0.165638,3,14,100,441,48,8
169,0.182763,8,24,5,259,66,35
170,0,13,50,37,2,0,0
171,0.097086,13,46,82,370,43,5
172,0.216631,6,27,186,1081,115,4
173,0.080433,4,167,269,611,50,5
175,0.373795,1,12,242,3526,284,53
178,0.262569,5,75,14,206,51,31
179,0.173781,6,61,1,1,3,5
180,0.250868,2,30,37,104,14,4
181,0.214276,5,21,61,352,28,3
183,0.171216,249,2743,544,68,1,5
184,0.20731,5,22,1,5,57,2
185,0.286397,4,9,5,2,0,0
186,0.087281,6,73,7,3,1,1
187,0.171213,29,100,82,698,49,23
189,0.051665,1,19,64,220,28,11
190,0.353359,4,7,3,1,0,0
191,0.468996,5,4,1,0,0,0
192,0.077017,10,12,3,133,34,20
195,0.249882,3,15,5,1,0,0
196,0.06437,11,50,63,725,58,15
197,0.173781,7,19,2,37,8,4
200,0.098447,6,3,3,8,6,131
202,0.091837,3,11,19,127,9,2
203,0.127419,5,40,7,3,1,1
204,0.079036,4,556,148,9,1,1
205,0.113274,8,113,10,1,0,0
206,0,1,3,5,17,1,3
208,0.093272,13,93,57,528,60,4
209,0.111686,2,10,24,922,194,57
212,0.080267,4,155,106,218,14,7
213,0.117595,2,195,71,96,12,2
214,0,1,19,1,0,0,0
215,0.26786,1,95,606,4675,242,26
216,0.244765,1,27,6,25,11,4
217,0.152718,1,107,750,6822,583,42
218,0,1,11,1,1,0,0
221,0.135853,2,23,43,170,21,4
222,0.06772,13,1711,467,32,1,6
223,0.202085,11,16,50,223,16,1
224,0.085743,3,45,38,86,12,2
232,0.082528,3,48,168,7701,1301,231
233,0.190565,5,40,84,644,80,2
234,0.080418,6,45,16,3065,815,478
235,0.195109,1,102,1505,15119,1660,191
236,0.23582,5,13,3,24,214,26
238,0.263231,10,60,230,3123,290,27
239,0.2118,6,77,85,2309,515,50
240,0.135036,1,46,5,1,0,0
242,0.222285,3,48,4,1,0,0
243,0,11,20,6,1,0,0
244,0.20906,1,11,138,8261,1781,364
245,0.179526,2,26,92,346,48,3
248,0,1,15,4,31,4,8
249,0.294531,1,267,1777,10015,811,70
250,0.079549,1,24,77,946,68,5
251,0.197353,7,88,296,2438,192,19
252,0.130554,1,53,9,922,205,137
253,0.182569,9,48,278,4721,587,31
254,0.122348,12,41,122,4429,530,83
255,0.051092,2,1249,349,118,19,1
256,0.241249,4,72,181,1090,59,2
258,0.13304,9,37,2,4,1,1
259,0.084416,13,3641,35165,67334,21283,2710
262,0.103924,11,1877,14485,49859,7949,791
263,0.148692,3,59,1581,22261,3699,469
264,0.404448,2,30,21,6,1,2
266,0,2,7,2,6,1,1
267,0.238354,4,183,1534,9251,747,58
268,0.080793,5,407,87,1,0,0
269,0.156828,1,117,777,6244,490,50
271,0.056514,7,221,2266,25664,3106,313
272,0.07863,2,535,322,1396,166,163
274,0.216397,2,16,10,1,0,0
275,0.243028,14,156,16,10,49,4
277,0.082143,3,7,1,4,54,29
278,0.063498,5,675,5700,35672,4827,521
279,0.170331,27,38,13,1,0,0
280,0.068973,2,113,1191,14871,3251,1535
282,0.072537,61,16,6,6,2,23
283,0,4,36,3,1,0,0
284,0,10,25,6,2,0,0
285,0.197765,4,11,14,115,17,2
286,0.205593,6,20,4,1,0,0
287,0.137099,6,33,12,1,0,0
