9,8,2,18,3,1
3,62,53,107,1,1
12,1128,331,27,5,1
3,119,152,143,7,1
4,58,69,429,12,1
4,16,1,1,0,0
2,16,4,1,0,0
16,126,15,1,0,0
4,15,2,1,0,0
6,10,2,6,1,1
3,5,2,1,0,0
2,23,2,1,0,0
1,9,1,0,0,0
1,21,3,1,0,0
1,338,80,9,1,1
3,37,2,2,1,1
5,49,7,6,2,1
6,19,2,7,2,1
5,48,8,33,9,1
4,1015,290,23,1,1
6,511,163,10,1,1
4,51,17,1,0,0
1,14,1,0,0,0
4,26,19,1,0,0
2,27,2,1,0,0
8,21,9,1,0,0
3,430,105,13,3,1
1,13,21,253,34,19
5,31,18,38,5,1
4,70,240,1302,107,17
6,57,23,129,26,1
7,35,2,136,25,24
7,94,146,448,6,3
6,21,5,1,0,0
4,16,36,112,6,1
3,36,40,185,12,1
9,56,6,1,0,0
2,51,2,3,101,8
3,5,2,84,27,7
6,79,264,1173,82,8
9,26,3,1,0,0
3,21,14,1,1,3
1,393,206,506,49,2
9,49,22,828,220,125
15,79,10,99,32,10
3,13,1,63,2,9
3,27,37,173,15,2
3,9,2,1,0,0
1,17,1,89,26,21
2,26,5,20,4,3
10,823,434,404,9,2
5,42,58,463,43,5
4,13,1,22,5,3
11,38,11,1,0,0
1,9,1,20,3,2
6,19,34,288,5,2
5,21,1,33,4,4
11,389,120,14,3,5
6,9,1,0,0,0
13,222,6667,75959,76990,75484
1,42,231,1395,86,3
6,49,14,29,6,5
3,45,2,209,60,18
1,2,2,62,14,5
1,343,913,8448,1036,114
4,36,56,575,41,2
3,17,8,41,16,6
5,599,116,3,5,1
22,60,17,68,17,11
9,24,2,444,128,75
1,2,18,286,18,3
2,57,12,1,0,0
5,27,6,1,0,0
10,259,1656,11403,934,97
9,91,9,125,33,17
2,355,102,61,17,13
2,41,14,6,2,2
3,23,8,43,8,5
1,13,2,14,5,3
1,8,5,78,9,2
1,22,57,367,34,2
8,21,6,1,0,0
6,39,11,1,2,4
6,33,237,3419,409,25
20,83,94,1236,207,16
1,14,18,217,23,1
1,322,1985,13029,2113,397
1,34,1354,43470,14900,3230
9,20,2,4,2,6
1,16,162,1033,77,7
2,23,17,13,25,34
13,58,14,1,0,0
10,35,8,1138,304,172
8,692,185,8,3,2
1,18,19,101,9,1
1,29,185,3057,309,57
15,58,350,8695,1771,278
3,36,30,226,28,2
12,895,239,12,8,83
3,14,11,2,9,2
7,66,30,541,25,3
7,44,3,1,0,0
13,43,11,9,1,21
11,63,4,3,26,1
12,58,6,21,1,3
2,41,161,1474,127,7
5,15,4,571,158,92
8,15,1,385,97,56
2,27,20,123,5,1
8,46,22,142,4,4
4,37,33,339,85,9
4,10,1,2,30,7
7,55,15,3,2,5
3,14,100,441,48,8
8,24,5,259,66,35
13,50,37,2,0,0
13,46,82,370,43,5
6,27,186,1081,115,4
4,167,269,611,50,5
1,12,242,3526,284,53
5,75,14,206,51,31
6,61,1,1,3,5
2,30,37,104,14,4
5,21,61,352,28,3
249,2743,544,68,1,5
5,22,1,5,57,2
4,9,5,2,0,0
6,73,7,3,1,1
29,100,82,698,49,23
1,19,64,220,28,11
4,7,3,1,0,0
5,4,1,0,0,0
10,12,3,133,34,20
3,15,5,1,0,0
11,50,63,725,58,15
7,19,2,37,8,4
6,3,3,8,6,131
3,11,19,127,9,2
5,40,7,3,1,1
4,556,148,9,1,1
8,113,10,1,0,0
1,3,5,17,1,3
13,93,57,528,60,4
2,10,24,922,194,57
4,155,106,218,14,7
2,195,71,96,12,2
1,19,1,0,0,0
1,95,606,4675,242,26
1,27,6,25,11,4
1,107,750,6822,583,42
1,11,1,1,0,0
2,23,43,170,21,4
13,1711,467,32,1,6
11,16,50,223,16,1
3,45,38,86,12,2
3,48,168,7701,1301,231
5,40,84,644,80,2
6,45,16,3065,815,478
1,102,1505,15119,1660,191
5,13,3,24,214,26
10,60,230,3123,290,27
6,77,85,2309,515,50
1,46,5,1,0,0
3,48,4,1,0,0
11,20,6,1,0,0
1,11,138,8261,1781,364
2,26,92,346,48,3
1,15,4,31,4,8
1,267,1777,10015,811,70
1,24,77,946,68,5
7,88,296,2438,192,19
1,53,9,922,205,137
9,48,278,4721,587,31
12,41,122,4429,530,83
2,1249,349,118,19,1
4,72,181,1090,59,2
9,37,2,4,1,1
13,3641,35165,67334,21283,2710
11,1877,14485,49859,7949,791
3,59,1581,22261,3699,469
2,30,21,6,1,2
2,7,2,6,1,1
4,183,1534,9251,747,58
5,407,87,1,0,0
1,117,777,6244,490,50
7,221,2266,25664,3106,313
2,535,322,1396,166,163
2,16,10,1,0,0
14,156,16,10,49,4
3,7,1,4,54,29
5,675,5700,35672,4827,521
27,38,13,1,0,0
2,113,1191,14871,3251,1535
61,16,6,6,2,23
4,36,3,1,0,0
10,25,6,2,0,0
4,11,14,115,17,2
6,20,4,1,0,0
6,33,12,1,0,0
1,3,18,360,33,1
2,65,33,163,24,1
6,36,80,912,88,16
5,27,12,1,0,0
1,20,78,337,18,6
1,8,4,9,6,65
3,23,1,1,0,0
10,22,2,426,110,87
17,110,29,163,10,1
7,522,1536,6779,350,32
1,12,61,852,112,39
5,44,5,13,0,0
8,53,140,453,34,1
6,26,4,2,0,0
8,605,140,12,0,0
9,28,11,351,79,12
1,6,5,5,45,77
4,21,40,204,2,1
2,12,1,342,74,62
6,17,4,6,0,0
20,357,59,81,9,1
1,24,236,1968,181,28
8,35,59,423,58,6
2,3,1,369,73,63
10,12,2,1,7,41
17,30,52,894,88,13
3,168,53,5,0,0
6,17,68,421,32,2
2,49,15,55,5,1
1,230,80,2,0,0
2,27,5,2490,669,394
1,433,3248,20575,1935,207
3,111,20,1,0,0
1,751,235,55,4,1
6,31,175,1898,276,48
9,191,714,3396,317,46
5,32,9,14,209,15
5,27,6,34,427,32
3,27,4,6,0,0
1,50,142,905,74,4
7,10,3,3,0,0
1,32,81,1917,358,46
3,1085,309,10,0,0
1,28,11,264,73,45
4,15,11,2,1,13
5,29,12,1,0,0
8,36,124,1190,117,14
2,4,3,382,127,27
6,26,2,0,0,0
